"user_id","first_name","last_name","date_start","date_end","ctc","net_pay","gross_pay","data_salary_basic_rate","data_salary_basic_type","currency","status","created_at"
"74042","","",2021-12-01,2021-12-31,2804051.0,2804051.0,2804051.0,2500000,monthly,IDR,approved,2021-12-28 04:08:14.000
"74053","","",2021-12-01,2021-12-31,3975805.0,3975805.0,3975805.0,3500000,monthly,IDR,approved,2021-12-28 05:39:43.000
"74052","","",2021-12-01,2021-12-31,1820000.0,1820000.0,1820000.0,1800000,monthly,IDR,approved,2022-01-04 04:45:38.000
"75963","","",2021-12-01,2021-12-31,292500.0,292500.0,292500.0,90000,daily,IDR,approved,2022-01-04 04:54:28.000
"83884","","",2021-12-01,2021-12-31,600000.0,600000.0,600000.0,3000000,monthly,IDR,approved,2022-01-04 04:55:59.000
"75983","","",2021-12-01,2021-12-31,633750.0,633750.0,633750.0,90000,daily,IDR,approved,2022-01-04 05:00:39.000
"75955","","",2021-12-01,2021-12-31,616500.0,616500.0,616500.0,90000,daily,IDR,approved,2022-01-04 05:07:54.000
"74138","","",2021-12-01,2021-12-31,968500.0,968500.0,968500.0,1000000,monthly,IDR,approved,2022-01-04 05:13:08.000
"74025","","",2021-12-01,2021-12-31,1943500.0,1943500.0,1943500.0,2000000,monthly,IDR,approved,2022-01-04 05:17:16.000
"74027","","",2021-12-01,2021-12-31,3406000.0,3406000.0,3406000.0,3500000,monthly,IDR,approved,2022-01-04 05:18:31.000
"74044","","",2021-12-01,2021-12-31,4017262.0,4017262.0,4017262.0,3500000,monthly,IDR,approved,2022-01-04 05:26:03.000
"79765","","",2021-12-01,2021-12-31,2010000.0,2010000.0,2010000.0,65000,daily,IDR,approved,2022-01-04 05:47:01.000
"79738","","",2021-12-01,2021-12-31,1765000.0,1765000.0,1765000.0,65000,daily,IDR,approved,2022-01-04 05:47:22.000
"75986","","",2021-12-01,2021-12-31,614250.0,614250.0,614250.0,90000,daily,IDR,approved,2022-01-04 06:45:55.000
"75218","","",2021-12-01,2021-12-31,193182.4166666667,193182.42,193182.4166666667,12500,hourly,IDR,approved,2022-01-04 06:47:52.000
"74054","","",2021-12-01,2021-12-31,1186588.0,1186588.0,1186588.0,45000,daily,IDR,approved,2022-01-04 06:57:55.000
"75952","","",2021-12-01,2021-12-31,1992854.0,1992854.0,1992854.0,9000,hourly,IDR,approved,2022-01-04 07:45:31.000
"83893","","",2021-12-01,2021-12-31,290000.0,290000.0,290000.0,65000,daily,IDR,approved,2022-01-05 04:32:05.000
"83894","","",2021-12-01,2021-12-31,400000.0,400000.0,400000.0,65000,daily,IDR,approved,2022-01-05 04:43:54.000
"74050","","",2021-12-01,2021-12-31,3280000.0,3280000.0,3280000.0,1800000,monthly,IDR,approved,2022-01-05 04:53:33.000
"74049","","",2021-12-01,2021-12-31,2130000.0,2130000.0,2130000.0,1800000,monthly,IDR,approved,2022-01-05 04:57:20.000
"74465","","",2021-12-01,2021-12-31,1234051.0,1234051.0,1234051.0,45000,daily,IDR,approved,2022-01-05 04:58:46.000
"83888","","",2021-12-01,2021-12-31,202391.0,202391.0,202391.0,65000,daily,IDR,approved,2022-01-05 05:00:33.000
"83902","","",2021-12-01,2021-12-31,478500.0,478500.0,478500.0,2500000,monthly,IDR,approved,2022-01-05 05:03:46.000
"83885","","",2021-12-01,2021-12-31,612318.0,612318.0,612318.0,3000000,monthly,IDR,approved,2022-01-05 05:40:27.000
"74556","","",2021-12-01,2021-12-31,1909051.0,1909051.0,1909051.0,1800000,monthly,IDR,approved,2022-01-05 05:44:20.000
"75848","","",2021-12-01,2021-12-31,1579500.0,1579500.0,1579500.0,90000,daily,IDR,approved,2022-01-05 05:53:42.000
"74461","","",2021-12-01,2021-12-31,3066515.0,3066515.0,3066515.0,3000000,monthly,IDR,approved,2022-01-05 06:15:19.000
"74639","","",2021-12-01,2021-12-31,976661.0,976661.0,976661.0,40000,daily,IDR,approved,2022-01-05 06:16:38.000
"75834","","",2021-12-01,2021-12-31,507000.0,507000.0,507000.0,90000,daily,IDR,approved,2022-01-05 06:18:59.000
"83893","","",2022-01-01,2022-01-31,4723444.0,4723444.0,4723444.0,65000,daily,IDR,approved,2022-01-21 08:23:45.000
"74044","","",2022-01-01,2022-01-31,5967956.0,5967956.0,5967956.0,3500000,monthly,IDR,approved,2022-01-21 08:24:10.000
"79738","","",2022-01-01,2022-01-31,5282963.0,5282963.0,5282963.0,65000,daily,IDR,approved,2022-01-21 08:25:00.000
"74053","","",2022-01-01,2022-01-31,4200552.0,4200552.0,4200552.0,3500000,monthly,IDR,approved,2022-02-04 05:14:47.000
