"type","dates","time_start","time_end","timezone","time_planned","break_time","leave_type","user_id"
work,2022-02-25,09:00:00,18:00:00,+08:00,28800,3600,not specified,"157837"
work,2022-09-22,09:00:00,18:00:00,+08:00,28800,3600,not specified,"138225"
work,2023-07-10,09:00:00,18:00:00,+08:00,28800,3600,not specified,"160306"
work,2022-06-24,08:00:00,17:00:00,+08:00,32400,0,not specified,"128325"
work,2023-09-18,09:00:00,18:00:00,+08:00,28800,3600,not specified,"155509"
work,2022-09-14,08:00:00,15:00:00,+08:00,25200,0,not specified,"90711"
work,2022-03-16,08:00:00,17:00:00,+08:00,32400,0,not specified,"88347"
work,2023-08-08,09:00:00,18:00:00,+08:00,28800,3600,not specified,"159217"
work,2023-02-17,09:00:00,18:00:00,+08:00,28800,3600,not specified,"125744"
work,2022-07-21,08:00:00,17:00:00,+08:00,32400,0,not specified,"88348"
work,2022-02-23,08:00:00,15:00:00,+08:00,25140,60,not specified,"74054"
work,2023-01-25,09:00:00,18:00:00,+08:00,28800,3600,not specified,"160306"
work,2023-06-06,09:00:00,18:00:00,+08:00,28800,3600,not specified,"125744"
work,2021-11-26,08:30:00,14:30:00,+08:00,18000,3600,not specified,"74044"
work,2022-08-21,09:00:00,18:00:00,+08:00,28800,3600,not specified,"125721"
free,2022-08-15,09:00:00,08:59:00,+08:00,7200,0,not specified,"75218"
work,2023-07-09,09:00:00,18:00:00,+08:00,28800,3600,not specified,"132484"
work,2022-10-24,09:00:00,18:00:00,+08:00,28800,3600,not specified,"159217"
work,2022-03-18,08:00:00,17:00:00,+08:00,32400,0,not specified,"88347"
work,2023-01-07,09:00:00,18:00:00,+08:00,28800,3600,not specified,"129675"
work,2023-05-14,09:00:00,18:00:00,+08:00,28800,3600,not specified,"125744"
work,2022-12-26,08:00:00,18:00:00,+08:00,36000,0,not specified,"75218"
work,2022-05-31,08:00:00,18:00:00,+08:00,36000,0,not specified,"75218"
work,2022-01-11,08:30:00,14:30:00,+08:00,18000,3600,not specified,"74044"
work,2022-05-22,09:00:00,18:00:00,+08:00,28800,3600,not specified,"146182"
free,2022-10-05,07:00:00,06:59:00,+08:00,7200,0,not specified,"84699"
free,2022-02-07,07:00:00,06:59:00,+08:00,7200,0,not specified,"84699"
free,2022-11-02,07:00:00,06:59:00,+08:00,7200,0,not specified,"84699"
work,2022-01-05,09:00:00,18:00:00,+08:00,28800,3600,not specified,"159207"
work,2022-03-21,09:00:00,18:00:00,+08:00,28800,3600,not specified,"157916"
work,2023-01-27,09:00:00,18:00:00,+08:00,28800,3600,not specified,"132484"
work,2022-03-21,09:00:00,18:00:00,+08:00,28800,3600,not specified,"157837"
free,2022-05-30,09:00:00,08:59:00,+08:00,7200,0,not specified,"75218"
work,2022-06-11,15:00:00,22:00:00,+08:00,25200,0,not specified,"74054"
work,2022-08-08,08:00:00,15:00:00,+08:00,25200,0,not specified,"74049"
work,2023-01-16,09:00:00,18:00:00,+08:00,28800,3600,not specified,"157837"
work,2022-04-21,09:00:00,18:00:00,+08:00,28800,3600,not specified,"160306"
work,2023-04-21,09:00:00,18:00:00,+08:00,28800,3600,not specified,"155509"
free,2022-10-31,09:00:00,08:59:00,+08:00,7200,0,not specified,"75218"
work,2021-12-10,09:00:00,18:00:00,+08:00,28800,3600,not specified,"159207"
work,2022-05-28,09:00:00,18:00:00,+08:00,28800,3600,not specified,"146166"
work,2022-01-19,08:00:00,17:00:00,+08:00,32400,0,not specified,"75952"
work,2023-04-12,09:00:00,18:00:00,+08:00,28800,3600,not specified,"155509"
work,2022-01-26,09:00:00,18:00:00,+08:00,28800,3600,not specified,"126082"
free,2022-12-13,09:00:00,08:59:00,+08:00,7200,0,not specified,"75218"
work,2022-02-23,09:00:00,18:00:00,+08:00,28800,3600,not specified,"146182"
work,2021-12-03,09:00:00,18:00:00,+08:00,28800,3600,not specified,"132484"
work,2022-06-01,08:00:00,15:00:00,+08:00,25200,0,not specified,"74461"
